mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
21.24166667,0.064965035,1.211654266,19.96354167,-0.00300095,1.381998537,61.66666667,-0.127272727,3.055050463,64.40625,0.015240098,4.550484358,0.0,0.0,0.0,0.101041667,-0.000899213,0.187781952,209.0,7.299300699,136.1463117,27.41666667,0.310328269
22.52857143,0.023115942,0.330223589,22.52857143,0.023115942,0.330223589,63.28571429,0.033333333,0.755928946,63.28571429,0.033333333,0.755928946,0.0,0.0,0.0,0.0,0.0,0.0,450.2857143,3.52826087,45.26851108,450.2857143,3.52826087
23.83636364,0.020271669,0.382812558,23.58823529,0.016793558,0.467549934,61.63636364,-0.050452781,1.120064933,62.29411765,-0.044411908,1.358524286,0.0,0.0,0.0,0.0,0.0,0.0,677.7272727,2.521474774,47.2802092,635.9411765,2.580039043
24.8,0.01764411,0.239045722,24.8,0.01764411,0.239045722,56.0,-0.176441103,2.390457219,56.0,-0.176441103,2.390457219,0.0,0.0,0.0,0.0,0.0,0.0,795.125,2.215037594,29.59940878,795.125,2.215037594
25.5,0.04,0.141421356,25.5,0.04,0.141421356,51.5,-0.2,0.707106781,51.5,-0.2,0.707106781,0.0,0.0,0.0,0.0,0.0,0.0,864.0,1.6,5.656854249,864.0,1.6
26.125,0.03,0.25,26.125,0.03,0.25,47.25,-0.1,0.957427108,47.25,-0.1,0.957427108,0.0,0.0,0.0,0.0,0.0,0.0,893.5,1.28,8.266397845,893.5,1.28
26.33333333,0.03,0.152752523,26.33333333,0.03,0.152752523,47.33333333,-2.14e-12,0.577350269,47.33333333,-2.14e-12,0.577350269,0.433333333,0.09,0.450924975,0.433333333,0.09,0.450924975,922.6666667,1.4,7.094598885,922.6666667,1.4
26.65714286,0.001956522,0.139727626,26.65714286,0.001956522,0.139727626,43.57142857,-0.03115942,1.988059595,43.57142857,-0.03115942,1.988059595,1.014285714,-0.007246377,0.195180015,1.014285714,-0.007246377,0.195180015,934.4285714,0.700724638,9.089502056,934.4285714,0.700724638
26.8,0.02,0.141421356,26.8,0.02,0.141421356,44.75,0.1,1.258305739,44.75,0.1,1.258305739,1.225,0.03,0.427200187,1.225,0.03,0.427200187,948.75,0.26,1.707825128,948.75,0.26
26.95714286,0.009285714,0.171824939,26.95714286,0.009285714,0.171824939,46.57142857,-0.028571429,0.975900073,46.57142857,-0.028571429,0.975900073,0.957142857,-0.008571429,0.151185789,0.957142857,-0.008571429,0.151185789,946.1428571,-0.342857143,3.97611919,946.1428571,-0.342857143
27.25,0.036,0.251661148,27.25,0.036,0.251661148,46.0,-0.08,0.816496581,46.0,-0.08,0.816496581,1.2,0.024,0.2,1.2,0.024,0.2,930.5,-0.84,5.507570547,930.5,-0.84
27.8,0.001819549,0.118321596,27.8,0.001420118,0.112815215,44.27272727,-0.002105263,0.786245393,44.25,0.000322754,0.753778361,1.045454545,-0.003548872,0.201809992,1.033333333,-0.001721356,0.196946386,885.8181818,-1.452030075,26.18327016,888.5833333,-1.372458311
26.96,-0.026,0.230217289,26.96,-0.026,0.230217289,45.2,-8.56e-13,0.836660027,45.2,-8.56e-13,0.836660027,0.7,-0.02,0.273861279,0.7,-0.02,0.273861279,813.4,-2.84,22.64508777,813.4,-2.84
26.26666667,-0.038333333,0.533853913,26.26666667,-0.038333333,0.533853913,48.22222222,0.076666667,1.092906421,48.22222222,0.076666667,1.092906421,0.844444444,0.006666667,0.166666667,0.844444444,0.006666667,0.166666667,732.0,-2.426666667,33.26785235,732.0,-2.426666667
24.63,-0.019030303,0.33015148,24.63,-0.019030303,0.33015148,52.3,0.064242424,1.251665557,52.3,0.064242424,1.251665557,0.75,-0.005454545,0.241522946,0.75,-0.005454545,0.241522946,600.6,-3.054545455,46.27502326,600.6,-3.054545455
